anomalies_in_C,anomaly_rate,backbone,conformal_auc,contamination_frac,dataset,degree_bin,flagged@0.05,fpr@0.05,method,n_cal,n_normals,n_test,raw_auc_all,runtime_s,seed,study,tpr@0.05
14,,,0.7028846153846153,0.0,citeseer,,0.052443384982121574,0.04125,,359,,839,,,1,contamination,
14,,,0.7028846153846153,0.02,citeseer,,0.052443384982121574,0.04125,,359,,839,,,1,contamination,
17,,,0.6840451388888888,0.05,citeseer,,0.03708133971291866,0.03125,,362,,836,,,1,contamination,
35,,,0.7225347222222223,0.1,citeseer,,0.03178484107579462,0.02875,,380,,818,,,1,contamination,
53,,,0.5,0.15,citeseer,,0.02125,0.02125,,398,,800,,,1,contamination,
53,,,0.5,0.2,citeseer,,0.02125,0.02125,,398,,800,,,1,contamination,
53,,,0.5,0.25,citeseer,,0.02125,0.02125,,398,,800,,,1,contamination,
53,,,0.5,0.3,citeseer,,0.02125,0.02125,,398,,800,,,1,contamination,
14,,,0.7855805243445693,0.0,citeseer,,0.06793802145411204,0.05368289637952559,,359,,839,,,2,contamination,
14,,,0.7855805243445693,0.02,citeseer,,0.06793802145411204,0.05368289637952559,,359,,839,,,2,contamination,
17,,,0.7838951310861423,0.05,citeseer,,0.05861244019138756,0.046192259675405745,,362,,836,,,2,contamination,
35,,,0.6933979584343102,0.1,citeseer,,0.034229828850855744,0.0299625468164794,,380,,818,,,2,contamination,
52,,,0.5,0.15,citeseer,,0.0299625468164794,0.0299625468164794,,397,,801,,,2,contamination,
52,,,0.5,0.2,citeseer,,0.0299625468164794,0.0299625468164794,,397,,801,,,2,contamination,
52,,,0.5,0.25,citeseer,,0.0299625468164794,0.0299625468164794,,397,,801,,,2,contamination,
52,,,0.5,0.3,citeseer,,0.0299625468164794,0.0299625468164794,,397,,801,,,2,contamination,
15,,,0.7375239540083041,0.0,citeseer,,0.03933253873659118,0.03217821782178218,,359,,839,,,3,contamination,
